regularization,target,floor_to_guideline_ratio,selected_frequency_jaccard_with_1e_9,frequency_min_ghz,frequency_max_ghz,median_snr_db
1e-06,CO,11.549010258629925,1.0,70.3030303030303,400.0,14.273032388470455
1e-06,O3,184.66988627913352,1.0,70.3030303030303,400.0,14.273032388470455
1e-06,SO2,63.93539866754352,1.0,70.3030303030303,400.0,14.273032388470455
1e-06,NO2,1664.558917420224,1.0,70.3030303030303,400.0,14.273032388470455
1e-09,CO,11.54901025863003,1.0,70.3030303030303,400.0,14.273032388470455
1e-09,O3,184.6698862791353,1.0,70.3030303030303,400.0,14.273032388470455
1e-09,SO2,63.93539866753965,1.0,70.3030303030303,400.0,14.273032388470455
1e-09,NO2,1664.5589174203133,1.0,70.3030303030303,400.0,14.273032388470455
1e-12,CO,11.54901025863003,1.0,70.3030303030303,400.0,14.273032388470455
1e-12,O3,184.6698862791353,1.0,70.3030303030303,400.0,14.273032388470455
1e-12,SO2,63.93539866753965,1.0,70.3030303030303,400.0,14.273032388470455
1e-12,NO2,1664.5589174203133,1.0,70.3030303030303,400.0,14.273032388470455
