target,real_q05_q95_range_molecules_cm2,peak_zenith_attenuation_across_real_range_db,rms_zenith_attenuation_across_real_range_db,peak_frequency_ghz
CO_total_column,1.3614074085163136e+18,0.005973444508773378,0.0004399709411786567,346.10567514677103
NO2_tropospheric_column,1.8630750744084484e+16,6.53600535766708e-05,1.524251137469455e-05,395.3424657534246
