case_id,split,target,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
training_prior__pilot_power_residual__prior_d_optimal__k16,validation,NO2,36.08750585758921,0.3372664098840113,-0.0005237749584396933,-0.058874449118545544
training_prior__pilot_power_residual__prior_d_optimal__k16,validation,PM2.5,92.6382787422663,0.4229092843746478,-0.002187135303203025,-3.439132174041095
training_prior__pilot_power_residual__prior_d_optimal__k16,validation,PM10,99.69242139298468,0.37762280830676015,-0.0049843433468583775,6.48821215423233
training_prior__pilot_power_residual__prior_d_optimal__k16,validation,macro,,0.3490527290493592,-0.044186982829509204,
training_prior__pilot_power_residual__bayesian_a_optimal__k16,validation,CO,1343.6835132963872,0.4478945044321291,-0.01068176762536166,-134.81080845869917
training_prior__pilot_power_residual__bayesian_a_optimal__k16,validation,O3,49.97820535227963,0.27015246136367366,-0.11415440155304357,15.999597546162274
training_prior__pilot_power_residual__bayesian_a_optimal__k16,validation,SO2,15.968660387627594,0.23833821474071035,-0.13149820764429365,5.425699248758612
training_prior__pilot_power_residual__bayesian_a_optimal__k16,validation,NO2,36.08486765139947,0.3372417537513969,-0.00037749211241067115,-0.05575080244855794
training_prior__pilot_power_residual__bayesian_a_optimal__k16,validation,PM2.5,92.62743836119093,0.42285979621634895,-0.001952600401348148,-3.433524209055136
training_prior__pilot_power_residual__bayesian_a_optimal__k16,validation,PM10,99.6750683697275,0.3775570771580587,-0.004634507348707517,6.494009045150612
training_prior__pilot_power_residual__bayesian_a_optimal__k16,validation,macro,,0.34900730127705293,-0.04388316278086087,
training_prior__pilot_power_residual__target_balanced__k16,validation,CO,1343.9544359499862,0.44798481198332873,-0.011089369844344166,-134.94064728932923
training_prior__pilot_power_residual__target_balanced__k16,validation,O3,49.9827998522606,0.2701772964987059,-0.1143592595560412,16.001099640383686
training_prior__pilot_power_residual__target_balanced__k16,validation,SO2,15.975700346533218,0.23844328875422713,-0.13249609432651477,5.422206740903053
training_prior__pilot_power_residual__target_balanced__k16,validation,NO2,36.08946204154985,0.3372846919771014,-0.00063224804690587,-0.05913293239791497
training_prior__pilot_power_residual__target_balanced__k16,validation,PM2.5,92.6379812976709,0.4229079264901676,-0.0021806996337918605,-3.4409655112091584
training_prior__pilot_power_residual__target_balanced__k16,validation,PM10,99.69063786896727,0.37761605253396696,-0.004948384792435645,6.485785969006952
training_prior__pilot_power_residual__target_balanced__k16,validation,macro,,0.3490690113729163,-0.044284342700005586,
training_prior__pilot_power_residual__uniform__k32,validation,CO,1343.6225772008727,0.4478741924002909,-0.010590100795142998,-134.97236189694797
training_prior__pilot_power_residual__uniform__k32,validation,O3,49.98341300588273,0.27018061084260936,-0.11438660006554979,16.005060650164154
