target,rank,frequency_ghz,sensitivity_db_per_ug_m3,background_attenuation_db,snr_db,single_target_fisher_fraction
CO,1,345.3333333333333,9.10168902565964e-06,5.332900294918952,17.979235470774555,0.38188345039664284
CO,2,346.66666666666663,7.788125686144717e-06,5.503592109731575,17.842015333753267,0.2794355039057722
CO,3,344.0,4.8378341805878845e-06,5.230238118339179,18.048296484993898,0.10792500814889396
CO,4,348.0,3.879188143839186e-06,5.740944850801116,17.63800578003297,0.06925930069135386
CO,5,230.66666666666666,2.853882318573394e-06,0.5047922345936288,19.30227031205075,0.037737977199489445
CO,6,342.66666666666663,2.4432825571161533e-06,5.200797696710393,18.044005253983954,0.027527026546088837
CO,7,229.33333333333331,2.0236839716706207e-06,0.5111357392123013,19.24557368300715,0.01897186136612157
CO,8,349.3333333333333,2.0269858795936307e-06,6.046802467621576,17.365363842841802,0.018884523438607845
CO,9,232.0,1.7758323627729219e-06,0.5003820289951154,19.356743420725337,0.014614641097664199
CO,10,341.3333333333333,1.3904829555570592e-06,5.25479456413107,17.95614522617437,0.008911958513435044
O3,1,358.66666666666663,2.7329563060043718e-05,10.985156720788787,12.656029363327804,0.08605912626230412
O3,2,360.0,2.3096399215061894e-05,12.376367435238304,11.297048332009894,0.060003245092351526
O3,3,357.3333333333333,2.1804032720988543e-05,9.84109492444547,13.767741440198776,0.055597225025542124
O3,4,364.0,2.1241622884937885e-05,18.94246353908856,4.826929885795025,0.03778621162136932
O3,5,361.3333333333333,1.773557257409387e-05,14.08700357576013,9.618522725796439,0.03392913214249807
O3,6,362.66666666666663,1.8021742520684633e-05,16.221880103197265,7.51563846155517,0.03233229318253884
O3,7,353.3333333333333,1.570672129108419e-05,7.43975440452601,16.0713035582786,0.029463397502876965
O3,8,356.0,1.5644290988262184e-05,8.892465115721508,14.683900595638463,0.028900523825281205
O3,9,352.0,1.4662084191110776e-05,6.886512032041379,16.591706989423713,0.02576207436857602
O3,10,354.66666666666663,1.4009341382076419e-05,8.101398489940287,15.442374726749534,0.023329735132738554
SO2,1,357.3333333333333,0.00025710102973860825,9.84109492444547,13.767741440198776,0.0856702347267971
SO2,2,358.66666666666663,0.00024969097305472957,10.985156720788787,12.656029363327804,0.07961228677727121
SO2,3,356.0,0.0002065063305826057,8.892465115721508,14.683900595638463,0.05580891027631458
SO2,4,360.0,0.00020228003260225973,12.376367435238304,11.297048332009894,0.05100762147394227
SO2,5,354.66666666666663,0.00015655493343553695,8.101398489940287,15.442374726749534,0.03228871386878016
SO2,6,361.3333333333333,0.00015898115956585599,14.08700357576013,9.618522725796439,0.030214575951127292
