model,split,inference_class,uses_current_weather,uses_true_pollutant_lags,uses_simulated_thz,target,mae_ug_m3,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
calendar and current weather Ridge,test,auxiliary context prior,True,False,False,O3,29.443788067921354,37.5987865060017,0.20323668381622542,0.5546028377412391,0.8175930516658074
calendar and current weather Ridge,test,auxiliary context prior,True,False,False,SO2,13.462478379668358,17.741263786815686,0.26479498189277145,-0.813276166868341,10.720177529926032
calendar and current weather Ridge,test,auxiliary context prior,True,False,False,NO2,19.84260885354114,25.65544273939204,0.2397704928915144,0.49247281152765454,3.682072499620278
calendar and current weather Ridge,test,auxiliary context prior,True,False,False,PM2.5,47.65740386526768,67.58717821837307,0.30854680766205567,0.3785013321046712,5.872615672465183
calendar and current weather Ridge,test,auxiliary context prior,True,False,False,PM10,55.725026020377584,78.19725190482038,0.2962017117606832,0.3211298850348042,13.851222371505092
calendar and current weather HGB,validation,auxiliary context prior,True,False,False,CO,593.2149742145967,905.1128213260015,0.3017042737753338,0.5414086190546114,134.07287307324376
calendar and current weather HGB,validation,auxiliary context prior,True,False,False,O3,17.120884604454453,23.949576264864845,0.12945716899926943,0.7441533505389502,-1.7625593536740096
calendar and current weather HGB,validation,auxiliary context prior,True,False,False,SO2,14.061700146602812,19.482612259200344,0.2907852576000051,-0.6842683035413948,11.18865288856955
calendar and current weather HGB,validation,auxiliary context prior,True,False,False,NO2,19.92946355500811,25.68207401820215,0.24001938334768366,0.49327321069913854,6.496280727828464
calendar and current weather HGB,validation,auxiliary context prior,True,False,False,PM2.5,43.90907376655947,67.18298801054321,0.3067016115523553,0.472907908173515,5.044933882337172
calendar and current weather HGB,validation,auxiliary context prior,True,False,False,PM10,57.2933707241233,80.79193080743792,0.3060300409372649,0.3399588970546027,18.045375483158377
calendar and current weather HGB,test,auxiliary context prior,True,False,False,CO,603.2925081626773,945.8341819741078,0.31527806065803593,0.5007280541584913,137.367570725906
