scenario,method,tone_count,nuisance_case,target,column_domain,one_sigma_floor_molecules_cm2,three_sigma_floor_molecules_cm2,floor_to_real_q05_q95_range,three_sigma_floor_to_real_q05_q95_range,floor_to_median_retrieval_uncertainty,floor_to_real_median_column,identifiable,target_rank,target_condition_number,median_snr_db,q05_snr_db,q95_snr_db
reference,uniform,64,ideal_no_nuisance,CO_total_column,total_column,1.699390018198951e+20,5.098170054596853e+20,124.82597109200228,374.47791327600686,1204.3404821117804,51.23658654406859,True,2,2.247007848159202,20.286657435807882,-72.72812868112025,26.37261957573622
reference,uniform,64,ideal_no_nuisance,NO2_tropospheric_column,tropospheric_column,1.2802944776427608e+20,3.8408834329282825e+20,6871.942495657464,20615.827486972394,77247.96378091043,9820.543639260122,True,2,2.247007848159202,20.286657435807882,-72.72812868112025,26.37261957573622
reference,uniform,64,declared_nuisance,CO_total_column,total_column,1.913861584805773e+20,5.741584754417319e+20,140.57963639932987,421.7389091979896,1356.334307637646,57.70290143706681,True,2,2.0745727559859954,20.286657435807882,-72.72812868112025,26.37261957573622
reference,uniform,64,declared_nuisance,NO2_tropospheric_column,tropospheric_column,2.581729136877298e+20,7.745187410631894e+20,13857.35428668666,41572.06286005998,155771.44347666734,19803.24378195699,True,2,2.0745727559859954,20.286657435807882,-72.72812868112025,26.37261957573622
reference,d_optimal,64,ideal_no_nuisance,CO_total_column,total_column,1.1023735497741758e+20,3.3071206493225275e+20,80.97308291979712,242.9192487593914,781.2409618654573,33.23654792721291,True,2,3.0421289464632673,15.016182779000786,2.716782384578299,25.762519614104395
reference,d_optimal,64,ideal_no_nuisance,NO2_tropospheric_column,tropospheric_column,7.367891364970523e+19,2.210367409491157e+20,3954.6937566699658,11864.081270009898,44454.976198197444,5651.566881100808,True,2,3.0421289464632673,15.016182779000786,2.716782384578299,25.762519614104395
reference,d_optimal,64,declared_nuisance,CO_total_column,total_column,1.3094233636034766e+20,3.92827009081043e+20,96.18159526768771,288.5447858030631,927.9750664194019,39.47909707225343,True,2,1.2918249443369356,15.016182779000786,2.716782384578299,25.762519614104395
reference,d_optimal,64,declared_nuisance,NO2_tropospheric_column,tropospheric_column,1.4443436830628833e+20,4.33303104918865e+20,7752.471722168694,23257.415166506085,87146.05152546815,11078.888816051389,True,2,1.2918249443369356,15.016182779000786,2.716782384578299,25.762519614104395
reference,uniform,128,ideal_no_nuisance,CO_total_column,total_column,3.17758875761723e+20,9.532766272851689e+20,233.4046911850012,700.2140735550037,2251.924946786221,95.80425896208496,True,2,13.229729352811043,17.478425400892824,-97.20342502763097,23.398556261691343
reference,uniform,128,ideal_no_nuisance,NO2_tropospheric_column,tropospheric_column,9.443345379375278e+19,2.8330036138125833e+20,5068.687520482054,15206.062561446164,56977.45437281774,7243.551153130659,True,2,13.229729352811043,17.478425400892824,-97.20342502763097,23.398556261691343
reference,uniform,128,declared_nuisance,CO_total_column,total_column,3.524464549904161e+20,1.0573393649712484e+21,258.8838967569,776.6516902707,2497.752305098291,106.26255950593988,True,2,3.958390467999924,17.478425400892824,-97.20342502763097,23.398556261691343
reference,uniform,128,declared_nuisance,NO2_tropospheric_column,tropospheric_column,1.84152760357556e+20,5.52458281072668e+20,9884.344591751194,29653.03377525358,111110.576595211,14125.501991630152,True,2,3.958390467999924,17.478425400892824,-97.20342502763097,23.398556261691343
reference,d_optimal,128,ideal_no_nuisance,CO_total_column,total_column,1.0641708453163044e+20,3.1925125359489135e+20,78.16696447069118,234.50089341207357,754.1670924110939,32.08473689371768,True,2,3.58115643077972,14.872744303975793,2.0130639401121253,23.454891383932047
reference,d_optimal,128,ideal_no_nuisance,NO2_tropospheric_column,tropospheric_column,6.339973770659569e+19,1.9019921311978707e+20,3402.9620479317487,10208.886143795247,38252.92327352262,4863.099089606457,True,2,3.58115643077972,14.872744303975793,2.0130639401121253,23.454891383932047
reference,d_optimal,128,declared_nuisance,CO_total_column,total_column,1.1819131349939038e+20,3.5457394049817117e+20,86.81553571696617,260.44660715089856,837.6098597550786,35.63466536826334,True,2,1.2126889803482943,14.872744303975793,2.0130639401121253,23.454891383932047
reference,d_optimal,128,declared_nuisance,NO2_tropospheric_column,tropospheric_column,1.1893000590397805e+20,3.5679001771193414e+20,6383.532662619081,19150.597987857243,71757.71628296773,9122.567763846704,True,2,1.2126889803482943,14.872744303975793,2.0130639401121253,23.454891383932047
reference,uniform,256,ideal_no_nuisance,CO_total_column,total_column,1.524456121562996e+20,4.573368364688988e+20,111.97648198670932,335.92944596012796,1080.3666025690952,45.96233187710376,True,2,5.800976242856026,14.387197546357442,-98.38119608728391,20.388090311136665
reference,uniform,256,ideal_no_nuisance,NO2_tropospheric_column,tropospheric_column,6.746555602428554e+19,2.0239666807285662e+20,3621.1936357801774,10863.580907340533,40706.0791031325,5174.96910791421,True,2,5.800976242856026,14.387197546357442,-98.38119608728391,20.388090311136665
reference,uniform,256,declared_nuisance,CO_total_column,total_column,1.6409852058187986e+20,4.9229556174563954e+20,120.53593917247548,361.60781751742644,1162.9495835268235,49.47568222424844,True,2,1.6230381512628125,14.387197546357442,-98.38119608728391,20.388090311136665
reference,uniform,256,declared_nuisance,NO2_tropospheric_column,tropospheric_column,1.349584831297771e+20,4.0487544938933125e+20,7243.85640619599,21731.569218587967,81428.67284665882,10352.037724200372,True,2,1.6230381512628125,14.387197546357442,-98.38119608728391,20.388090311136665
reference,d_optimal,256,ideal_no_nuisance,CO_total_column,total_column,1.0477661470317666e+20,3.1432984410953e+20,76.96198364115273,230.88595092345818,742.5412490029767,31.590135457682504,True,2,4.802161756614832,15.30932980865665,0.6981740516484933,20.444395671142857
reference,d_optimal,256,ideal_no_nuisance,NO2_tropospheric_column,tropospheric_column,5.1662928646167134e+19,1.549887859385014e+20,2772.992315544279,8318.976946632838,31171.391508481087,3962.8230392417095,True,2,4.802161756614832,15.30932980865665,0.6981740516484933,20.444395671142857
reference,d_optimal,256,declared_nuisance,CO_total_column,total_column,1.1284214423422706e+20,3.385264327026812e+20,82.88638913549359,248.65916740648078,799.7008393259018,34.021891543194734,True,2,1.4077363591727485,15.30932980865665,0.6981740516484933,20.444395671142857
reference,d_optimal,256,declared_nuisance,NO2_tropospheric_column,tropospheric_column,1.0202693357869241e+20,3.060808007360772e+20,5476.26528743547,16428.795862306408,61559.063226415914,7826.0116800177175,True,2,1.4077363591727485,15.30932980865665,0.6981740516484933,20.444395671142857
