noise_seed,model,model_role,configuration_status,target,normalization_q05_q95_range_ug_m3,validation_rmse_ug_m3,validation_normalized_rmse,validation_r2,test_rmse_ug_m3,test_normalized_rmse,test_r2,test_bias_ug_m3,configuration_json,selected_for_exploratory_composite,selected_component_model,model_runtime_seconds
20260715,multitask_elastic_net_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,PM2.5,219.04999999999927,92.5466643955306,0.42249104951166816,-0.0002058955606600854,85.8262920780319,0.3918114224059903,-0.00219509488723979,-4.86993580923042,"{""alpha"": 0.01, ""fit_intercept"": true, ""l1_ratio"": 0.8, ""max_iter"": 5000, ""random_state"": 20260715, ""selection"": ""cyclic"", ""tol"": 1e-05}",True,multitask_elastic_net_frozen,1.436525499997515
20260715,multitask_elastic_net_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,PM10,264.0,99.59991642427529,0.3772724106980125,-0.0031201512213849814,95.30185418692466,0.3609918719201692,-0.008338639422559524,9.095195982426013,"{""alpha"": 0.01, ""fit_intercept"": true, ""l1_ratio"": 0.8, ""max_iter"": 5000, ""random_state"": 20260715, ""selection"": ""cyclic"", ""tol"": 1e-05}",True,multitask_elastic_net_frozen,1.436525499997515
20260715,histogram_gradient_boosting_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,CO,3000.0,1342.8714402029586,0.4476238134009862,-0.009460498708186327,1347.5842023163332,0.4491947341054444,-0.013488851158539372,-165.76948134347006,"{""early_stopping"": true, ""fitted_iterations"": 27, ""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""n_iter_no_change"": 10, ""random_state"": 20260715, ""validation_fraction"": 0.1}",True,histogram_gradient_boosting_frozen,3.997650999997859
20260715,histogram_gradient_boosting_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,O3,185.0,49.99808383815009,0.2702599126386491,-0.11504087224243542,57.33038868933273,0.30989399291531206,-0.03554639564749351,10.562767402315286,"{""early_stopping"": true, ""fitted_iterations"": 38, ""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""n_iter_no_change"": 10, ""random_state"": 20260716, ""validation_fraction"": 0.1}",False,exploratory_pca_knn_component,3.997650999997859
20260715,histogram_gradient_boosting_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,SO2,67.0,15.976694769794777,0.23845813089245937,-0.13263708539238417,15.768511241535306,0.23535091405276576,-0.4324393107018034,8.683016101227476,"{""early_stopping"": true, ""fitted_iterations"": 10, ""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""n_iter_no_change"": 10, ""random_state"": 20260717, ""validation_fraction"": 0.1}",False,exploratory_targetwise_ridge_component,3.997650999997859
20260715,histogram_gradient_boosting_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,NO2,107.0,36.07002514699161,0.33710303875693093,0.00044529342761601143,36.01431063140715,0.3365823423495995,-0.00011628126351626022,0.21728490557239402,"{""early_stopping"": true, ""fitted_iterations"": 10, ""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""n_iter_no_change"": 10, ""random_state"": 20260718, ""validation_fraction"": 0.1}",True,histogram_gradient_boosting_frozen,3.997650999997859
20260715,histogram_gradient_boosting_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,PM2.5,219.04999999999927,92.56537903617502,0.42257648498596356,-0.0006104565816389407,85.86339591031374,0.39198080762526377,-0.003061806372865572,-5.000742276246119,"{""early_stopping"": true, ""fitted_iterations"": 10, ""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""n_iter_no_change"": 10, ""random_state"": 20260719, ""validation_fraction"": 0.1}",False,multitask_elastic_net_frozen,3.997650999997859
20260715,histogram_gradient_boosting_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,PM10,264.0,99.66292199779694,0.37751106817347324,-0.004389673388245585,95.35476681367258,0.3611922985366386,-0.009458631427681219,9.24478831259673,"{""early_stopping"": true, ""fitted_iterations"": 15, ""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""n_iter_no_change"": 10, ""random_state"": 20260720, ""validation_fraction"": 0.1}",False,multitask_elastic_net_frozen,3.997650999997859
20260715,exploratory_pca_knn_component,exploratory_component,frozen_before_noise_seed_stability_study,CO,3000.0,1345.0109149674906,0.4483369716558302,-0.012679623989856115,1350.9156051833743,0.4503052017277914,-0.018505996704406336,-169.41491500000967,"{""n_neighbors"": 200, ""p"": 2, ""pca_components"": 32, ""pca_solver"": ""randomized"", ""random_state"": 20260715, ""weights"": ""uniform""}",False,histogram_gradient_boosting_frozen,1.5854419999996026
20260715,exploratory_pca_knn_component,exploratory_component,frozen_before_noise_seed_stability_study,O3,185.0,49.871804250090335,0.2695773202707586,-0.10941549326665556,57.319546897765356,0.3098353886365695,-0.035154766815152394,9.963326264500015,"{""n_neighbors"": 200, ""p"": 2, ""pca_components"": 32, ""pca_solver"": ""randomized"", ""random_state"": 20260715, ""weights"": ""uniform""}",True,exploratory_pca_knn_component,1.5854419999996026
