target,elevation_deg,n_pilots,residual_error_std_db,detection_floor_1sigma_ug_m3,detection_floor_1sigma_ppm,detection_floor_3sigma_ug_m3,detection_floor_3sigma_ppm,who_2021_guideline_ug_m3,who_averaging_period,floor_to_guideline_ratio,floor_3sigma_to_guideline_ratio,median_snr_db,q05_snr_db,q95_snr_db,identifiable,condition_number,assumption
CO,45.0,30,0.63,83015.25370819312,71.87990352901822,249045.76112457935,215.63971058705465,4000.0,24 h,20.753813427048282,62.261440281144836,14.973941727146226,-70.80003193565044,20.639047159449355,True,775.433848828758,joint gas CRB with background and PM spectral nuisance
O3,45.0,30,0.63,28099.068670478267,14.194414189917696,84297.2060114348,42.58324256975309,100.0,8 h,280.99068670478266,842.972060114348,14.973941727146226,-70.80003193565044,20.639047159449355,True,775.433848828758,joint gas CRB with background and PM spectral nuisance
SO2,45.0,30,0.63,4307.559672121383,1.632445453895349,12922.679016364149,4.8973363616860475,40.0,24 h,107.68899180303458,323.06697540910375,14.973941727146226,-70.80003193565044,20.639047159449355,True,775.433848828758,joint gas CRB with background and PM spectral nuisance
NO2,45.0,30,0.63,64426.6145279961,33.95495960495675,193279.8435839883,101.86487881487025,25.0,24 h,2577.0645811198438,7731.193743359531,14.973941727146226,-70.80003193565044,20.639047159449355,True,775.433848828758,joint gas CRB with background and PM spectral nuisance
PM2.5,45.0,30,0.63,1513315.322482355,,4539945.967447065,,15.0,24 h,100887.68816549033,302663.06449647096,14.973941727146226,-70.80003193565044,20.639047159449355,True,1.0,optimistic single fine mode CRB
PM10,45.0,30,0.63,1581204.05182946,,4743612.15548838,,45.0,24 h,35137.867818432445,105413.60345529734,14.973941727146226,-70.80003193565044,20.639047159449355,True,1.0,"optimistic fixed composition PM10 CRB, fine fraction 0.7681"
