model,split,target,mae_ug_m3,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3,negative_prediction_rate
training period mean,test,CO,842.5362599999999,1349.053087111269,0.449684362370423,-0.015699488106238002,-167.72166666666675,0.0
training period mean,test,O3,45.29963475363333,57.325847658364225,0.30986944680196876,-0.035382354826434925,10.597257133333308,0.0
training period mean,test,SO2,13.485054762499997,15.784931727874836,0.2355959959384304,-0.4354241957949747,8.693784199999998,0.0
training period mean,test,NO2,28.7694377635,36.01300382292133,0.3365701291861806,-4.370251866747665e-05,0.2380691333333507,0.0
training period mean,test,PM2.5,60.79125100833333,85.87251108149648,0.3920224199109645,-0.0032747857288548676,-4.906091666666665,0.0
training period mean,test,PM10,70.66405362916667,95.33853559266703,0.36113081663889024,-0.009115002006937045,9.061008333333339,0.0
Ridge selected on validation,test,CO,841.8536668062922,1348.7046662798828,0.4495682220932943,-0.015174905102571357,-167.8055169596826,0.0
Ridge selected on validation,test,O3,45.334621332529245,57.35283195678199,0.31001530787449727,-0.03635733010509057,10.625221378599662,0.0
Ridge selected on validation,test,SO2,13.47942096910645,15.779714430243278,0.23551812582452653,-0.43447546852349617,8.69053634728351,0.0
Ridge selected on validation,test,NO2,28.766539570878773,36.0111541080588,0.33655284213139064,5.902416327374649e-05,0.2247359443903024,0.0
Ridge selected on validation,test,PM2.5,60.75681603614983,85.85213978770281,0.39192942153710614,-0.0027988340900062525,-4.896388459455671,0.0
Ridge selected on validation,test,PM10,70.65405662634491,95.32426079727526,0.36107674544422447,-0.00881284020666051,9.064941523740275,0.0
oracle joint physical WLS,test,CO,67077.7175999859,84522.16998627484,28.174056662091612,-3986.0201468802975,-364.50204110827974,0.5015
oracle joint physical WLS,test,O3,22239.842381042807,27844.531944651353,150.51098348460192,-244274.34362887187,117.8287213116809,0.49675
oracle joint physical WLS,test,SO2,3378.094497868961,4223.072305244869,63.0309299290279,-102741.91453932751,-22.35936847245612,0.4995
oracle joint physical WLS,test,NO2,46446.74453297232,58382.8055565284,545.633696789985,-2628270.386626957,-984.4641770851639,0.506
oracle joint physical WLS,test,PM2.5,5051198725.03917,6361835048.042105,29042844.31884102,-5506509350553552.0,-41266963.26633098,0.49625
oracle joint physical WLS,test,PM10,1148311613.8170488,1446254758.833855,5478237.722855511,-232216626146250.78,9382791.76187654,0.50375
oracle gas WLS with true PM removed,test,CO,66864.11074663998,84245.8769160801,28.0819589720267,-3959.9965471632763,-388.4865050467906,0.499
oracle gas WLS with true PM removed,test,O3,22134.028226124647,27709.92068797512,149.78335507013577,-241918.20933496224,112.44810775918499,0.4965
oracle gas WLS with true PM removed,test,SO2,2493.13769175895,3111.194134500587,46.43573335075503,-55762.37738963646,-4.288632808641006,0.5005
oracle gas WLS with true PM removed,test,NO2,34856.87929236391,43493.62297654511,406.4824577247207,-1458650.2081714766,-753.0880081485292,0.5075
mismatched gas WLS with true PM removed,test,CO,88304.88061994397,111263.20280321616,37.08773426773872,-6907.9216557897325,-103.44893712202064,0.49925
mismatched gas WLS with true PM removed,test,O3,29117.526492661982,36442.46605915413,196.98630302245476,-418421.76486792514,152.43883781133826,0.4945
mismatched gas WLS with true PM removed,test,SO2,3305.1598978403945,4125.624825217975,61.57648992862649,-98055.0309603622,-1.597884152875602,0.502
mismatched gas WLS with true PM removed,test,NO2,45842.508155081865,57207.53825085896,534.6498901949435,-2523519.3099744646,-970.6308127809216,0.50725
