model,split,target,mae_ug_m3,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
strict_one_hour_network_delta_reference,validation,CO,170.3894327200577,339.3513076539606,0.1131171025513202,0.9355356647949503,-3.5924882756132743
strict_one_hour_network_delta_reference,validation,O3,5.519359181096681,9.428781861536544,0.05096638844073808,0.9603452475958105,0.14146518759018756
strict_one_hour_network_delta_reference,validation,SO2,2.034999765512265,4.0594992728818715,0.06058954138629659,0.9268756806027406,-0.06737766955266956
strict_one_hour_network_delta_reference,validation,NO2,6.285798529942279,9.991868642420345,0.0933819499291621,0.9232979254855893,-0.18933152056277047
strict_one_hour_network_delta_reference,validation,PM2.5,9.621990160533908,18.26865756483675,0.0833994867146168,0.9610254472696704,0.2542029130591629
strict_one_hour_network_delta_reference,validation,PM10,14.521184280303029,26.06496666205301,0.09873093432595836,0.9313011678331758,-0.003468876262626253
strict_one_hour_network_delta_reference,test,CO,186.25082882395384,418.73211266324154,0.1395773708877472,0.9021457505973248,-1.643593975468976
strict_one_hour_network_delta_reference,test,O3,7.149924386724389,12.482281784990823,0.06747179343238283,0.9509105966143475,0.08645216450216466
strict_one_hour_network_delta_reference,test,SO2,1.6783851010101014,4.87840499485879,0.07281201484863865,0.8628958659246742,-0.026731277056277057
strict_one_hour_network_delta_reference,test,NO2,6.770756845238096,11.24420527688309,0.1050860306250756,0.9025105059981756,-0.10257872474747474
strict_one_hour_network_delta_reference,test,PM2.5,9.449093335137087,18.318924163805818,0.08362896217213366,0.954342565805891,-0.044384947691197725
strict_one_hour_network_delta_reference,test,PM10,14.850333793290044,26.415312397170418,0.1000580015044334,0.9225332722707982,-0.3536116612554112
single_channel_global_ridge,validation,CO,152.01570265065564,275.3351410742389,0.09177838035807963,0.957563091114254,8.144468308018006
single_channel_global_ridge,validation,O3,5.112399260946989,8.115538373878058,0.04386777499393545,0.970622236029017,0.12929080762153805
single_channel_global_ridge,validation,SO2,2.8109925836208705,4.659254064608961,0.06954110544192478,0.9036726336603322,0.07397954502061214
