scenario,tone_count,selection_rank,candidate_index,frequency_ghz,power_fraction,power_fraction_relative_to_equal,optimized_snr_db
reference,32,1,860,345.8260019550342,0.016416049342607646,0.5253135789634447,24.17141076106272
reference,32,2,898,358.455522971652,0.024456112490894806,0.7825955997086338,20.813298207426588
reference,32,3,1010,395.6793743890518,0.05007043993308775,1.602254077858808,15.855665515251497
reference,32,4,656,278.02541544477026,0.008042856660999046,0.2573714131519695,23.793561793531836
reference,32,5,31,70.3030303030303,0.008043277829382451,0.25738489054023844,9.723468456750494
reference,32,6,1023,400.0,0.02332985625343186,0.7465554001098195,20.12299148594347
reference,32,7,534,237.47800586510263,0.008503671981493434,0.2721175034077899,22.954861750490007
reference,32,8,785,320.8993157380254,0.06684262917861458,2.1389641337156666,9.019953460695566
reference,32,9,916,364.4379276637341,0.06541814943516344,2.09338078192523,16.01379428432653
reference,32,10,894,357.12609970674487,0.021648644460348077,0.6927566227311385,21.358583859651045
reference,32,11,841,339.5112414467253,0.013137580970835961,0.42040259106675076,22.935206832594105
reference,32,12,21,66.97947214076247,0.026066255911902782,0.834120189180889,7.737631588193154
reference,32,13,859,345.49364613880743,0.01573503161291409,0.5035210116132509,24.017358352690064
reference,32,14,1009,395.347018572825,0.05558755941152869,1.778801901168918,15.458017671251332
reference,32,15,383,187.29227761485825,0.053492414532620894,1.7117572650438686,8.029787972487597
reference,32,16,538,238.80742913000978,0.008704927977908982,0.27855769529308744,23.106277478778793
reference,32,17,1022,399.6676441837732,0.02104629469211655,0.6734814301477297,19.258555505786823
reference,32,18,917,364.7702834799609,0.06998127767873082,2.239400885719386,15.437696765684208
reference,32,19,895,357.45845552297163,0.022687423398848806,0.7259975487631618,21.312666045218933
reference,32,20,38,72.62952101661779,0.006775735552968257,0.21682353769498422,10.384053472666842
reference,32,21,861,346.15835777126097,0.015623285085103971,0.4999451227233271,23.92232833309192
reference,32,22,786,321.23167155425216,0.0976705323943032,3.1254570366177026,8.044225922463658
reference,32,23,657,278.3577712609971,0.008020168749180934,0.2566453999737899,23.785504652818947
