target,column_domain,unit,month_count,minimum,q05,median,q95,maximum,q05_q95_range,median_reported_uncertainty,median_reported_uncertainty_to_column,median_reported_uncertainty_to_q05_q95_range
CO_total_column,total_column,molecules_cm2,10,2.445195662673838e+18,2.4943350088546125e+18,3.316751042221179e+18,3.855742417370926e+18,3.897786862407778e+18,1.3614074085163136e+18,1.4110544679351091e+17,0.04254327352197489,0.10364674520707227
NO2_tropospheric_column,tropospheric_column,molecules_cm2,10,7303370159161341.0,7461209401982973.0,1.303690024373455e+16,2.6091960146067456e+16,2.8461479107756e+16,1.8630750744084484e+16,1657382816295215.0,0.12713012950235178,0.08895952927830654
