scenario,alpha,ridge,mean,difference,block_days,blocks,ci_low,ci_high
historical,100000.0,0.34744344415084005,0.3474788618078087,-3.54176569686282e-05,7,39,-0.0001375058910107821,6.503989974905584e-05
historical,100000.0,0.34744344415084005,0.3474788618078087,-3.54176569686282e-05,30,10,-0.000105084014860371,3.200104758099977e-05
training_only,100000.0,0.3474442865263873,0.3474788618078087,-3.457528142136734e-05,7,39,-0.00013619159462212454,6.55103897537215e-05
training_only,100000.0,0.3474442865263873,0.3474788618078087,-3.457528142136734e-05,30,10,-0.00010381903919029211,3.26354206638929e-05
