policy,pilots_per_frame,total_power_w,reference_bps,candidate_bps,relative_loss,within_power_budget,accepted
reuse_existing_pilots,30,0.19952623149688797,751672859.3251325,751672859.3251325,0.0,True,True
equal_power,30,0.19952623149688797,751672859.3251325,688100016.4106023,0.08457514745391656,True,False
voc_weighted_redistribution,30,0.199526231496888,751672859.3251325,532174956.3175588,0.2920125428030532,True,False
270_extra_pilots,300,0.19952623149688797,751672859.3251325,731316623.4156253,0.027081243731193656,True,False
