molecule,peak_db_per_ug_m3,rms_db_per_ug_m3,lines_in_band
H2CO,0.0009410722380841905,0.00016852600260924082,294
CH3OH,0.0003438120247037789,7.109169050497582e-05,1372
CH3CN,0.0033637130559001555,0.000995782002237901,2825
CO,8.997592790916528e-06,9.088346732869658e-07,15
O3,2.7374733562729633e-05,6.986453906891275e-06,1301
SO2,0.00025582124936266207,6.497587312361752e-05,6406
NO2,9.720541399587207e-06,2.2957719895622317e-06,1536
CH4,8.483517414005793e-11,1.465346548930172e-11,164
