target,recall_pct,precision_pct
H2CO,100.0,50.0
H2CO,99.88,50.04008016032064
H2CO,99.8,50.100401606425706
H2CO,99.62,50.11066398390342
H2CO,99.48,50.14112903225807
H2CO,99.28,50.141414141414145
H2CO,99.02,50.111336032388664
H2CO,98.86,50.131845841784994
H2CO,98.68,50.14227642276423
H2CO,98.48,50.14256619144602
H2CO,98.24000000000001,50.12244897959184
H2CO,98.04,50.122699386503065
H2CO,97.86,50.13319672131148
H2CO,97.74000000000001,50.17453798767967
H2CO,97.56,50.18518518518519
H2CO,97.46000000000001,50.23711340206185
H2CO,97.2,50.20661157024794
H2CO,96.96000000000001,50.18633540372671
H2CO,96.82,50.21784232365145
H2CO,96.66,50.239085239085234
H2CO,96.46000000000001,50.239583333333336
H2CO,96.28,50.25052192066806
H2CO,96.1,50.26150627615063
H2CO,95.89999999999999,50.26205450733753
H2CO,95.74000000000001,50.28361344537815
H2CO,95.58,50.30526315789474
H2CO,95.39999999999999,50.31645569620253
H2CO,95.14,50.28541226215645
H2CO,94.96,50.29661016949153
H2CO,94.88,50.360934182590235
H2CO,94.66,50.351063829787236
H2CO,94.48,50.362473347547976
H2CO,94.19999999999999,50.32051282051282
H2CO,94.06,50.353319057815845
H2CO,93.89999999999999,50.3755364806867
H2CO,93.72,50.38709677419355
H2CO,93.52000000000001,50.38793103448276
H2CO,93.36,50.410367170626344
H2CO,93.12,50.38961038961038
H2CO,92.92,50.39045553145336
H2CO,92.67999999999999,50.3695652173913
H2CO,92.46,50.359477124183
H2CO,92.24,50.349344978165945
H2CO,91.97999999999999,50.31728665207878
H2CO,91.72,50.28508771929825
H2CO,91.52,50.28571428571429
H2CO,91.34,50.29735682819383
H2CO,91.12,50.2869757174393
H2CO,90.92,50.28761061946903
H2CO,90.72,50.28824833702883
H2CO,90.52,50.28888888888889
H2CO,90.38000000000001,50.32293986636971
H2CO,90.24,50.357142857142854
H2CO,90.08,50.380313199105146
H2CO,89.84,50.35874439461884
H2CO,89.66,50.370786516853926
H2CO,89.46,50.37162162162162
H2CO,89.18,50.32731376975169
H2CO,89.02,50.35067873303167
H2CO,88.78,50.32879818594105
H2CO,88.6,50.34090909090909
H2CO,88.48,50.3872437357631
H2CO,88.3,50.39954337899544
H2CO,88.16000000000001,50.43478260869565
H2CO,87.96000000000001,50.43577981651376
H2CO,87.74,50.42528735632183
H2CO,87.62,50.47235023041474
H2CO,87.42,50.47344110854504
H2CO,87.2,50.46296296296296
H2CO,86.98,50.45243619489559
H2CO,86.82,50.47674418604651
H2CO,86.61999999999999,50.477855477855485
H2CO,86.38,50.455607476635514
H2CO,86.14,50.433255269320846
H2CO,85.88,50.39906103286385
H2CO,85.68,50.4
H2CO,85.52,50.424528301886795
H2CO,85.26,50.39007092198582
H2CO,85.1,50.41469194312796
H2CO,84.98,50.46318289786223
H2CO,84.82,50.48809523809524
H2CO,84.64,50.501193317422434
H2CO,84.46000000000001,50.514354066985646
H2CO,84.36,50.57553956834533
H2CO,84.22,50.61298076923077
H2CO,84.04,50.626506024096386
H2CO,83.84,50.6280193236715
H2CO,83.62,50.61743341404359
H2CO,83.42,50.61893203883495
H2CO,83.22,50.62043795620438
H2CO,83.04,50.63414634146341
H2CO,82.88,50.660146699266505
H2CO,82.72,50.68627450980392
H2CO,82.52000000000001,50.68796068796069
H2CO,82.34,50.70197044334975
H2CO,82.12,50.691358024691354
H2CO,81.96,50.71782178217822
H2CO,81.82000000000001,50.75682382133995
H2CO,81.6,50.74626865671642
H2CO,81.46,50.785536159600994
H2CO,81.24,50.775000000000006
H2CO,81.08,50.802005012531325
H2CO,80.92,50.82914572864322
H2CO,80.76,50.85642317380352
H2CO,80.56,50.85858585858586
H2CO,80.32000000000001,50.835443037974684
H2CO,80.12,50.837563451776646
H2CO,79.94,50.85241730279898
H2CO,79.75999999999999,50.86734693877551
H2CO,79.58,50.882352941176464
H2CO,79.44,50.92307692307693
H2CO,79.2,50.899742930591266
H2CO,78.96,50.876288659793815
H2CO,78.8,50.90439276485789
H2CO,78.62,50.91968911917098
H2CO,78.42,50.922077922077925
H2CO,78.24,50.9375
H2CO,78.06,50.95300261096606
H2CO,77.88000000000001,50.968586387434556
H2CO,77.7,50.98425196850393
H2CO,77.46,50.96052631578948
H2CO,77.18,50.91029023746702
H2CO,76.86,50.83333333333333
H2CO,76.68,50.84880636604775
H2CO,76.5,50.86436170212766
H2CO,76.34,50.89333333333334
H2CO,76.1,50.86898395721925
H2CO,75.9,50.87131367292225
H2CO,75.68,50.86021505376343
H2CO,75.44,50.8355795148248
H2CO,75.33999999999999,50.9054054054054
H2CO,75.14,50.90785907859079
H2CO,74.9,50.88315217391305
H2CO,74.68,50.87193460490463
H2CO,74.5,50.887978142076506
H2CO,74.26,50.863013698630134
H2CO,74.08,50.879120879120876
H2CO,73.9,50.895316804407706
H2CO,73.72,50.91160220994475
H2CO,73.5,50.90027700831025
H2CO,73.26,50.875
H2CO,73.06,50.8774373259053
H2CO,72.84,50.8659217877095
