altitude_m,temperature_k,pressure_pa,water_number_density_cm3,refractive_index,radial_weight_m,path_weight_m
105.66243270259358,289.66319418743313,99553.1205525547,2.1226590538022506e+17,1.000304476410914,250.0,353.4417222303081
394.3375672974064,287.7868058125668,96210.11982641323,1.8373641292537046e+17,1.000292337938509,250.0,353.43001287409817
605.6624327025936,286.41319418743313,93820.98272397583,1.6531285332948003e+17,1.0002839514384512,250.0,353.42126654015397
894.3375672974064,284.5368058125668,90635.21610608808,1.4309406226500954e+17,1.0002731107070424,250.0,353.4091041543529
1105.6624327025936,283.16319418743313,88359.07412874782,1.2874577962476731e+17,1.0002655860084082,250.0,353.4000574312439
1394.3375672974064,281.28680581256685,85324.82044968885,1.114417677448578e+17,1.0002558159374917,250.0,353.38752246785356
1605.6624327025936,279.91319418743313,83157.53900539638,1.0026731398890731e+17,1.000249005140714,250.0,353.3782277567463
1894.3375672974064,278.03680581256685,80269.22296765876,8.679093598655686e+16,1.000240125773186,250.0,353.36538397757084
2105.6624327025934,276.66319418743313,78206.77348285815,7.808826265102746e+16,1.000233911565073,250.0,353.35588284632746
2394.3375672974066,274.7868058125668,75458.9635665493,6.759284890983066e+16,1.0002257800190586,250.0,353.34278088154866
2605.6624327025934,273.41319418743313,73497.42195530486,6.081520010130572e+16,1.0002200691535699,250.0,353.3331063737865
2894.3375672974066,271.5368058125668,70884.82833004,5.264136366100327e+16,1.0002125717237096,250.0,353.31978651986395
3105.6624327025934,270.16319418743313,69020.37346771761,4.736292546154107e+16,1.0002072898970746,250.0,353.3099649704144
3394.3375672974066,268.28680581256685,66537.84591076228,4.0997135241135944e+16,1.0002003358449296,250.0,353.29645938988017
3605.6624327025934,266.91319418743313,64766.758112306394,3.688628343800077e+16,1.0001954236665251,250.0,353.2865118521622
3894.3375672974066,265.03680581256685,62409.28393302333,3.1928601029480964e+16,1.0001889403384499,250.0,353.2728463031848
4105.662432702594,263.6631941874331,60727.94343587007,2.8727066426108796e+16,1.0001843501628653,250.0,353.2627896714757
4394.337567297406,261.78680581256685,58490.645406527765,2.4866019484134236e+16,1.000178279151213,250.0,353.2489848677492
4605.662432702594,260.4131941874331,56895.530858194616,2.237266182799779e+16,1.0001739725872032,250.0,353.2388327595992
4894.337567297406,258.53680581256685,54773.66515119343,1.9365675446112556e+16,1.0001682667116152,250.0,353.2249054396194
5105.662432702594,257.1631941874331,53261.35210158955,1.7423846551036408e+16,1.0001642126631185,250.0,353.21466888971156
5394.337567297406,255.28680581256683,51250.306233165444,1.5082003202139134e+16,1.0001588335964713,250.0,353.2006326575924
5605.662432702594,253.9131941874331,49817.46563166471,1.3569705338063152e+16,1.0001550067219012,250.0,353.19032066337115
5894.337567297406,252.03680581256683,47912.75641212955,1.1745875904111394e+16,1.000149923123052,250.0,353.17618665006074
6105.662432702594,250.6631941874331,46556.153109451494,1.0568097143331804e+16,1.000146302623425,250.0,353.1658066008307
6394.337567297406,248.78680581256683,44753.42460003156,9147697351981500.0,1.0001414886684161,250.0,353.15158398413115
6605.662432702594,247.4131941874331,43469.915854975494,8230442330801487.0,1.0001380573340337,250.0,353.1411419985404
6894.337567297406,245.53680581256683,41764.93733131059,7124233861023408.0,1.0001334915605986,250.0,353.1268384121212
