order,field,relative_rms_difference,peak_normalized_difference
1,gas,0.003917252883941722,0.003231134922263786
1,pm,0.010437196146995918,0.010437196146994787
1,hitran_background_db,0.00200388017947788,0.0013337048968595116
1,background_db,0.0018504269496851299,0.0013255737000410495
4,gas,2.109752265085973e-06,1.4826792641120448e-06
4,pm,1.4359538539766163e-05,1.4359538541411489e-05
4,hitran_background_db,6.313391727868271e-07,2.540566172182859e-07
4,background_db,5.10939810992213e-07,2.446400767891966e-07
