molecule,lorentz_vs_voigt_relative_rms
H2CO,6.118357887177155e-09
CH3OH,5.440987893398055e-09
CH3CN,2.9871672081398486e-09
CO,1.657091231494172e-08
O3,4.6423201126594324e-09
SO2,1.7158069784206908e-09
NO2,6.563445011022627e-09
CH4,2.8934078514889813e-08
