frequency_ghz,itu_refracted_db,hitran_refracted_db
60.0,209.37386838092726,203.8042423872259
61.333333333333336,202.96983640521506,193.30397043274613
62.666666666666664,166.93826234454707,173.57839874865542
64.0,67.13972940040559,87.94052237772301
65.33333333333333,24.305436548305995,47.84967941677453
66.66666666666667,8.761078596309334,30.819566160400218
68.0,4.338823940380153,24.582141632198727
69.33333333333333,2.875554174930394,21.892666260057542
70.66666666666667,2.214873417805106,20.482898059698012
72.0,1.825261334304471,19.629830882704077
73.33333333333333,1.5707781656330297,19.070072173916216
74.66666666666667,1.3957967649947516,18.68438559428697
76.0,1.2715410980959858,18.410083846855056
77.33333333333333,1.1815294190089825,18.210940059813634
78.66666666666666,1.115658424908436,18.064611819335802
80.0,1.0674139596993166,17.95663191558028
81.33333333333333,1.0324270770772888,17.87726561141821
82.66666666666666,1.0076737264009292,17.819755069579813
84.0,0.9910069684192243,17.779286877735643
85.33333333333333,0.9808716548996806,17.75235902705135
86.66666666666666,0.9761243043647946,17.736379316858983
88.0,0.9759162581900283,17.72940345439775
89.33333333333333,0.97961640422264,17.729960813371324
90.66666666666666,0.9867596145506272,17.73693781142516
92.0,0.9970126456854089,17.749502502033405
93.33333333333333,1.010152604865546,17.767064236198145
94.66666666666666,1.0260552488920291,17.789254655421896
96.0,1.0446919528963865,17.815691939708582
97.33333333333333,1.0661355666643075,17.84549281133358
98.66666666666666,1.0905769188784138,17.879143041185234
100.0,1.1183558755903635,17.917208505458106
101.33333333333333,1.1500143274961316,17.96003041625462
102.66666666666666,1.1863846345623636,18.00828458615903
104.0,1.2287387110447299,18.06314362798176
105.33333333333333,1.2790462850126993,18.126516970746636
106.66666666666666,1.340440433984974,18.20151352612612
108.0,1.4181007489428383,18.293335766574593
109.33333333333333,1.5210386933102438,18.411096033583803
110.66666666666666,1.6660035531040116,18.57179666263187
112.0,1.886924845068193,18.80995747406698
113.33333333333333,2.260893945721915,19.20410548017718
114.66666666666666,2.9932366888356965,19.963424815804398
