pilots,sigma,quantile,scenario,gas,bias_ratio,sd_ratio,rmse_ratio
30000,0.0,0.95,pressure_minus_2000Pa,NO2,-2.8561713633364434,12.132916905442903,12.464565274855168
30000,0.0,0.95,height_1200m,CO,-0.18434854574125764,0.09942040004595361,0.2094488058266602
30000,0.0,0.95,height_1200m,O3,-0.43211663510739845,1.2496626317936006,1.3222637708255673
30000,0.0,0.95,height_1200m,SO2,-0.38919628614239704,0.5819828456610733,0.7001269754771596
30000,0.0,0.95,height_1200m,NO2,-0.7603726563333921,12.132916905442903,12.156719919899516
30000,0.0,0.95,combined,CO,-0.6123384112709793,0.09942040004595361,0.6203569503625832
30000,0.0,0.95,combined,O3,0.4296229519183543,1.2496626317936006,1.3214509351906898
30000,0.0,0.95,combined,SO2,-4.237628216079896,0.5819828456610733,4.2774053970088275
30000,0.0,0.95,combined,NO2,-9.080971744232748,12.132916905442903,15.154923967276634
30000,0.001,0.5,matched,CO,6.816427072869618e-15,0.10180840440456718,0.10180840440456718
30000,0.001,0.5,matched,O3,-2.674469377038115e-14,1.2902010492217553,1.2902010492217553
30000,0.001,0.5,matched,SO2,1.3967578520921225e-14,0.5986488638289015,0.5986488638289015
30000,0.001,0.5,matched,NO2,-2.896325387124266e-13,12.545563587161741,12.545563587161741
30000,0.001,0.5,temperature_plus_5K,CO,-0.41042148201223283,0.10180840440456718,0.42286019451412243
30000,0.001,0.5,temperature_plus_5K,O3,1.8077323418622635,1.2902010492217553,2.22092660104465
