station,datetime,geopotential_height_m,geometric_altitude_m,temperature_k,pressure_pa,water_pressure_pa,surface,pressure_flag,height_flag,temperature_flag
CHM00054511,2026-01-01T00:00:00Z,34,34.00018185444974,263.75,102860,180.83879087034936,True,B, ,B
CHM00054511,2026-01-01T00:00:00Z,59,59.00054761057887,267.75,102550,166.38865621100274,False,B,B,B
CHM00054511,2026-01-01T00:00:00Z,79,79.00098180073991,268.34999999999997,102270,162.25985158449313,False,A,B,B
CHM00054511,2026-01-01T00:00:00Z,111,111.0019382835784,268.25,101870,167.78566299556235,False,A,B,B
CHM00054511,2026-01-01T00:00:00Z,153,153.00368262154703,268.75,101390,147.89365203578907,False,A,B,B
CHM00054511,2026-01-01T00:00:00Z,189,189.0056195339095,268.45,100910,147.89365203578907,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,207,207.0067409112383,269.25,100680,127.92290964317644,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,254,254.01014959147406,268.84999999999997,100000,124.66109467236599,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,288,288.013048735479,268.84999999999997,99590,118.3601550258638,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,390,390.0239287292004,269.84999999999997,98280,92.56831987399777,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,422,422.0280167341478,269.75,97890,91.74868552138852,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,519,519.0423773651339,269.65,96780,93.39452162692359,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,715,715.08043123002,267.95,94530,92.56831987399777,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,885,885.1232283927279,266.84999999999997,92500,95.9129950754989,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,988,988.153583715479,265.95,91260,94.22733702017236,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,1079,1079.1831809842115,265.15,90160,92.56831987399777,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,1225,1225.236112865923,264.65,88440,92.56831987399777,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,1238,1238.2411513252714,264.45,88290,90.93557260504988,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,1519,1519.3630639375622,261.95,85140,93.39452162692359,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,1532,1532.3693056778081,261.84999999999997,85000,93.39452162692359,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,1691,1691.4499523609084,260.34999999999997,83250,90.12893543556359,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,1816,1816.518942871305,259.45,81900,86.19130571820607,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,1882,1882.5573546267722,259.25,81200,76.6663421673077,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,1906,1906.5716626330084,260.04999999999995,80930,54.00071755524616,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,1931,1931.5867596877024,260.75,80660,72.59826583005312,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2025,2025.6452859369092,260.75,79670,66.24760230086727,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2086,2086.6847545431083,261.45,79020,50.55574222698231,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2106,2106.697950165705,261.34999999999997,78830,52.00714884112773,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2189,2189.7540582166207,260.65,77970,56.58932275976369,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2221,2221.776269740792,260.54999999999995,77650,82.40887185858692,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2270,2270.8109061678533,260.95,77160,108.49066078681052,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2343,2343.8639099096804,260.54999999999995,76400,108.49066078681052,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2370,2370.88393924458,260.65,76140,93.39452162692359,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2420,2420.921636939506,260.34999999999997,75640,107.5455080840146,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2442,2442.9384733922916,260.25,75420,108.49066078681048,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2511,2511.9922675435596,260.45,74730,95.9129950754989,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2658,2659.1118734525758,260.25,73330,98.49225647767916,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2739,2740.1806876174746,259.95,72580,97.62566953019278,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,2934,2935.3548290228637,258.34999999999997,70720,96.76593160945582,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,3010,3011.4259439613356,258.25,70000,71.93944981009311,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,3031,3032.4459150405232,258.34999999999997,69810,70.63791888438642,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,3059,3060.4727592883964,258.34999999999997,69550,54.50974101537149,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,3068,3069.4814402573115,258.34999999999997,69470,62.10427181628446,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,3086,3087.4988787600255,258.25,69300,69.35759889510393,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,3129,3130.5409506397673,258.04999999999995,68910,55.54076940031509,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,3242,3243.6542888639437,257.15,67880,77.36392356526116,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,3287,3288.700543749338,256.95,67470,71.28601374872747,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,3303,3304.717143705724,256.84999999999997,67330,55.023080864494545,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,3313,3314.727559643551,256.84999999999997,67240,57.655663638196465,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,3350,3351.7663726096325,256.75,66910,54.00071755524616,False, ,B,B
CHM00054511,2026-01-01T00:00:00Z,3381,3382.799223720898,256.65,66630,74.60738486996773,False, ,B,B
