frequency_ghz,mie_extinction,rayleigh_extinction,mie_absorption,mie_scattering
60.0,0.010210431155899547,0.010210357980443271,0.010210425127677879,6.028221668764134e-09
61.333333333333336,0.010437333407416345,0.010437255244461437,0.010437326825224844,6.582191502185872e-09
62.666666666666664,0.010664235917888188,0.010664152545810612,0.01066422874439571,7.173492478315355e-09
64.0,0.010891138693773124,0.010891049886131385,0.010891130890007913,7.803765209857342e-09
65.33333333333333,0.011118041741564475,0.011117947267099642,0.011118033266878883,8.474685592070728e-09
66.66666666666667,0.011344945067790818,0.01134484469042655,0.011344935879826016,9.187964802804334e-09
68.0,0.011571848679015987,0.011571742157858554,0.011571838733666684,9.945349302533358e-09
69.33333333333333,0.011798752581839088,0.011798639671177367,0.011798741833218255,1.0748620834396722e-08
70.66666666666667,0.012025656782894478,0.012025537232200017,0.012025645183298054,1.1599596424235054e-08
72.0,0.012252561288851781,0.012252434842778779,0.012252548788723401,1.2500128380629426e-08
73.33333333333333,0.012479466106415885,0.012479332504801235,0.01247945265431159,1.3452104294940932e-08
74.66666666666667,0.012706371242326929,0.012706230220190231,0.012706356784879887,1.4457447041350968e-08
76.0,0.012933276703360317,0.012933127990903914,0.012933261185245539,1.551811477690215e-08
77.33333333333333,0.013160182496326726,0.013160025818935692,0.013160165860225784,1.663610094154025e-08
78.66666666666666,0.013387088628072072,0.01338692370631427,0.013387070814637813,1.781343425815659e-08
80.0,0.013613995105477558,0.013613821655103626,0.013613976053298825,1.9052178732631425e-08
81.33333333333333,0.013840901935459617,0.01384071966740302,0.013840881581025963,2.035443365387784e-08
82.66666666666666,0.01406780912496997,0.014067617745347,0.014067787402636377,2.1722333593886713e-08
84.0,0.014294716680995589,0.01429451589110538,0.014294693522947181,2.3158048407772097e-08
85.33333333333333,0.014521624610558705,0.014521414106883282,0.01452159994677547,2.466378323381756e-08
86.66666666666666,0.01474853292071681,0.014748312394921095,0.014748506678938317,2.624177849352322e-08
88.0,0.014975441618562657,0.014975210757494488,0.014975413724252765,2.789430989165357e-08
89.33333333333333,0.015202350711224258,0.0152021091969144,0.015202321087535843,2.9623688416285904e-08
90.66666666666666,0.0154292602058649,0.01542900771552709,0.01542922877360456,3.143226033885973e-08
92.0,0.015656170109683107,0.015655906315714056,0.01565613678727589,3.332240721422678e-08
93.33333333333333,0.01588308042991268,0.015882804999892107,0.0158830451333668,3.5296545880701685e-08
94.66666666666666,0.016109991173822676,0.016109703770513312,0.016109953816694216,3.7357128460113666e-08
96.0,0.016336902348717413,0.01633660263006503,0.016336862842075056,3.9506642357858837e-08
97.33333333333333,0.01656381396193647,0.01656350158106992,0.016563772214326207,4.174761026295301e-08
98.66666666666666,0.01679072602085469,0.0167904006260859,0.01679068193826454,4.408259014808581e-08
100.0,0.017017638532882164,0.017017299767706176,0.017017592018706895,4.651417526967498e-08
101.33333333333333,0.017244551505464258,0.017244199008559228,0.01724450246047009,4.904499416792179e-08
102.66666666666666,0.01747146494608159,0.017471098351308837,0.017471413268370924,5.1677710666867e-08
104.0,0.017698378862250046,0.017697997798654056,0.01769832444722617,5.441502387444781e-08
105.33333333333333,0.017925293261520762,0.017924897353329215,0.017925236001852578,5.7259668182555206e-08
106.66666666666666,0.01815220815148014,0.01815179701810392,0.018152147937066872,6.021441326709228e-08
108.0,0.01837912353974985,0.018378696795783075,0.01837906025768576,6.328206408803354e-08
109.33333333333333,0.018606039433986803,0.018605596689206864,0.018605972968525914,6.646546088948431e-08
110.66666666666666,0.01883295584188319,0.01883249670125074,0.01883288607440399,6.976747919974161e-08
112.0,0.019059872771166456,0.019059396834825448,0.019059799580136625,7.319102983135526e-08
113.33333333333333,0.0192867902295993,0.019286297092877012,0.019286713490540418,7.673905888118989e-08
114.66666666666666,0.019513708224979682,0.019513197478386736,0.019513627810431953,8.041454773048794e-08
116.0,0.019740626765140844,0.01974009799437121,0.019740542544627798,8.422051304493317e-08
