station,datetime,geopotential_height_m,geometric_altitude_m,temperature_k,pressure_pa,water_pressure_pa,surface,pressure_flag,height_flag,temperature_flag
CHM00054511,2026-04-01T00:00:00Z,34,34.00018185444974,284.75,101230,486.6603764010822,True,B, ,B
CHM00054511,2026-04-01T00:00:00Z,139,139.00303950507086,283.45,100000,455.0054583739865,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,282,282.01251068987193,282.04999999999995,98240,434.93205789827,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,484,484.036854249072,281.34999999999997,95880,354.00640577715876,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,489,489.0376196632085,281.34999999999997,95810,354.00640577715876,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,692,692.0753395885573,279.65,93440,348.58344000982646,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,757,757.0901586199768,279.95,92690,327.62365763773033,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,774,774.0942537372608,279.84999999999997,92500,317.57089006260105,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,842,842.1115438132992,279.45,91790,275.6513063549062,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,1164,1164.213181379199,276.25,88240,233.03499560697637,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,1174,1174.2168603648568,276.25,88130,227.45362104530093,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,1326,1326.2766568483064,276.65,86460,163.62581833414183,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,1441,1441.3267308910245,275.75,85220,158.22295401330155,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,1451,1451.331281927017,275.84999999999997,85120,159.55848613141515,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,1464,1464.3372453425502,275.84999999999997,85000,159.55848613141515,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,1558,1558.3819487890876,276.54999999999995,84070,149.15090906642823,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,1671,1671.4393704578767,276.54999999999995,82860,83.15320500337994,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,1742,1742.477506300527,276.15,82120,55.54076940031509,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,1903,1903.569864212651,275.34999999999997,80500,26.56507417142521,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,2061,2061.668437165848,274.04999999999995,78940,20.382664634002758,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,2155,2155.730811846705,273.15,78000,21.45917155546984,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,2389,2389.8981716067524,271.25,75720,21.903988584143164,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,2448,2448.9430916110905,270.75,75190,20.807259258961963,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,2720,2721.164360472052,269.15,72630,32.10504302622599,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,2750,2751.190192155638,269.04999999999995,72360,34.39569465524884,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,3011,3012.426891814368,267.04999999999995,70000,38.667951581385466,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,3050,3051.464103840965,266.75,69640,37.92424387510442,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,3353,3354.7695385141815,264.54999999999995,67000,22.58686815465984,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,3375,3376.79284180684,264.34999999999997,66810,21.23984254704302,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,3708,3710.1641962028366,261.34999999999997,63980,9.972984967061292,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,3793,3795.264585257957,260.65,63250,10.195219426782296,False, ,B,B
CHM00054511,2026-04-01T00:00:00Z,4057,4059.5909024008497,259.15,61140,13.379062314544264,False, ,B,B
