frequency_ghz,mie_extinction,rayleigh_extinction,mie_absorption,mie_scattering
60.0,0.012531526977191457,0.012531523151274834,0.01253152690795467,6.92367890425021e-11
61.333333333333336,0.012810005535036155,0.012810001448349373,0.012810005459436783,7.559937264278008e-11
62.666666666666664,0.013088484104897448,0.013088479745852678,0.013088484022506728,8.239071995813306e-11
64.0,0.013366962687046078,0.013366958043803584,0.013366962597416404,8.962967403780887e-11
65.33333333333333,0.013645441281753207,0.013645436342221349,0.013645441184417724,9.733548315821703e-11
66.66666666666667,0.01392391988929039,0.013923914641125626,0.01392391978376259,1.0552780082294818e-10
68.0,0.014202398509929581,0.01420239294053646,0.014202398395702896,1.1422668576279258e-10
69.33333333333333,0.014480877143943157,0.014480871240474334,0.014480877020490555,1.2345260193576078e-10
70.66666666666667,0.014759355791603885,0.014759349540960103,0.014759355658377467,1.332264185271032e-10
72.0,0.01503783445318494,0.01503782784201506,0.01503783430961553,1.4356940994933034e-10
73.33333333333333,0.0153163131289599,0.015316306143660856,0.015316312974456644,1.5450325584223427e-10
74.66666666666667,0.015594791819202763,0.015594784445919595,0.015594791653152721,1.6605004107291008e-10
76.0,0.015873270524187907,0.015873262748813764,0.01587327034595565,1.7823225573577628e-10
77.33333333333333,0.016151749244190144,0.016151741052366258,0.016151749053117347,1.9107279515259888e-10
78.66666666666666,0.016430227979484662,0.016430219356600377,0.016430227774889703,2.0459495987251196e-10
80.0,0.016708706730347078,0.016708697661539828,0.01670870651152462,2.188224556720422e-10
81.33333333333333,0.016987185497053393,0.01698717596720872,0.016987185263273998,2.3377939355513047e-10
82.66666666666666,0.017265664279880036,0.017265654273631574,0.017265664030389746,2.494902897531574e-10
84.0,0.017544143079103815,0.0175441325808333,0.01754414281312375,2.65980065724966e-10
85.33333333333333,0.017822621895001965,0.01782261088883923,0.01782262161172792,2.8327404815688654e-10
86.66666666666666,0.018101100727852114,0.018101089197675106,0.018101100426454145,3.0139796896276196e-10
88.0,0.018379579577932303,0.018379567507367058,0.01837957925755434,3.2037796528397267e-10
89.33333333333333,0.018658058445520972,0.01865804581794162,0.018658058105280394,3.4024057948946206e-10
90.66666666666666,0.01893653733089696,0.01893652412942575,0.0189365369698842,3.6101275917576277e-10
92.0,0.019215016234339525,0.019215002441846804,0.019215015851617667,3.82721857167024e-10
93.33333333333333,0.01949349515612832,0.019493480755232537,0.01949349475073269,4.0539563151503644e-10
94.66666666666666,0.019771974096543417,0.0197719590696111,0.019771973667481173,4.2906224549926123e-10
96.0,0.02005045305586527,0.020050437385011072,0.020050452602115004,4.5375026762685783e-10
97.33333333333333,0.02032893203437475,0.020328915701461423,0.02032893155488608,4.794886716327102e-10
98.66666666666666,0.02060741103235314,0.020607394018991535,0.020607410526046303,5.063068364794567e-10
100.0,0.02088589005008212,0.0208858723376312,0.020885889515847574,5.342345463575195e-10
101.33333333333333,0.021164369087843776,0.02116435065741058,0.021164368524541784,5.633019906851319e-10
102.66666666666666,0.02144284814592059,0.021442828978360317,0.021442847552380826,5.935397641083696e-10
104.0,0.021721327224595476,0.021721307300511365,0.02172132659961661,6.249788665011809e-10
105.33333333333333,0.02199980632415172,0.02199978562389514,0.02199980566650102,6.576507029654152e-10
106.66666666666666,0.022278285444873033,0.022278263948543462,0.02227828475328595,6.915870838308559e-10
108.0,0.02255676458704353,0.02255674227448855,0.022556763860223303,7.26820224655251e-10
109.33333333333333,0.022835243750947715,0.022835220601763025,0.02283524298756497,7.633827462243447e-10
110.66666666666666,0.023113722936870522,0.023113698930399888,0.02311372213556285,8.01307674551909e-10
112.0,0.023392202145097272,0.023392177260432606,0.02339220130446883,8.406284408797769e-10
113.33333333333333,0.023670681375913695,0.02367065559189499,0.023670680494534812,8.813788816778745e-10
114.66666666666666,0.023949160629605927,0.023949133924821286,0.023949159706012687,9.235932386442549e-10
116.0,0.024227639906460516,0.02422761225924614,0.024227638939154358,9.673061587051326e-10
117.33333333333333,0.0245061192067644,0.024506090595204623,0.024506118194211706,1.0125526940149136e-09
118.66666666666666,0.024784598530804922,0.02478456893273217,0.02478459747143662,1.0593683019562353e-09
120.0,0.025063077878869862,0.025063047271864643,0.025063076771081015,1.107788845139999e-09
121.33333333333333,0.025341557251247357,0.025341525612638336,0.025341556093396767,1.157850591405403e-09
122.66666666666666,0.02562003664822598,0.025620003955089884,0.025620035438635766,1.2095902138199803e-09
124.0,0.02589851607009471,0.025898482299256405,0.02589851480704992,1.2630447906796373e-09
125.33333333333333,0.026176995517142913,0.026176960645175353,0.026176994198891107,1.3182518055086836e-09
126.66666666666666,0.026455474989660374,0.02645543899288462,0.026455473614411227,1.375249147059874e-09
128.0,0.02673395448793728,0.02673391734242251,0.026733953053862173,1.434075109314446e-09
129.33333333333331,0.02701243401226421,0.02701239569382772,0.027012432517495816,1.4947683914821512e-09
130.66666666666666,0.02729091356293218,0.027290874047139355,0.02729091200556408,1.5573680980013037e-09
132.0,0.027569393140232573,0.02756935240239693,0.027569391518318834,1.6219137385388096e-09
133.33333333333331,0.027847872744457196,0.027847830759640334,0.02784787105601197,1.6884452279902067e-09
134.66666666666666,0.02812635237589827,0.028126309118909926,0.028126350618895384,1.757002886479709e-09
136.0,0.028404832034848403,0.028404787480246392,0.028404830207220965,1.8276274393602438e-09
137.33333333333331,0.02868331172160062,0.028683265843690898,0.0286833098212406,1.9003600172134873e-09
138.66666666666666,0.028961791436448347,0.028961744209284938,0.02896178946120619,1.9752421558499116e-09
140.0,0.029240271179685407,0.029240222577070502,0.02924026912736961,2.0523157963088216e-09
