molecule,isotopologue_id,parameter,uncertainty_code,lines,fraction_pct
O3,4,air_width,4,898,19.624125874125873
O3,4,self_width,5,4116,89.94755244755245
O3,4,self_width,2,460,10.052447552447552
O3,4,temperature_exponent,5,3822,83.52272727272727
O3,4,temperature_exponent,2,754,16.477272727272727
O3,4,pressure_shift,0,4576,100.0
O3,5,position,6,1704,72.11172238679644
O3,5,position,5,508,21.498095641134153
O3,5,position,4,151,6.390181972069403
O3,5,intensity,5,2363,100.0
O3,5,air_width,6,1286,54.42234447735929
O3,5,air_width,5,618,26.153195090986035
O3,5,air_width,4,459,19.424460431654676
O3,5,self_width,5,2124,89.88573846804908
O3,5,self_width,2,239,10.114261531950909
O3,5,temperature_exponent,5,1968,83.28396106644097
O3,5,temperature_exponent,2,395,16.716038933559034
O3,5,pressure_shift,0,2363,100.0
SO2,1,position,4,6336,98.90727443022166
SO2,1,position,6,69,1.0771152044957852
SO2,1,position,5,1,0.015610365282547611
SO2,1,intensity,5,5004,78.11426787386824
SO2,1,intensity,4,1402,21.885732126131753
SO2,1,air_width,4,5725,89.36934124258508
SO2,1,air_width,3,681,10.630658757414924
SO2,1,self_width,4,4654,72.65064002497658
SO2,1,self_width,5,1750,27.31813924445832
SO2,1,self_width,2,2,0.031220730565095223
SO2,1,temperature_exponent,0,6406,100.0
SO2,1,pressure_shift,0,6406,100.0
SO2,2,position,4,1905,70.06252298639205
SO2,2,position,6,682,25.08275101140125
SO2,2,position,5,132,4.854726002206694
SO2,2,intensity,5,2463,90.58477381390217
SO2,2,intensity,4,256,9.41522618609783
SO2,2,air_width,4,2719,100.0
SO2,2,self_width,4,1721,63.29532916513424
SO2,2,self_width,5,961,35.34387642515631
SO2,2,self_width,2,37,1.360794409709452
SO2,2,temperature_exponent,0,2719,100.0
SO2,2,pressure_shift,0,2719,100.0
SO2,3,position,4,1995,100.0
SO2,3,intensity,5,1995,100.0
SO2,3,air_width,4,1995,100.0
SO2,3,self_width,4,1214,60.852130325814535
SO2,3,self_width,5,781,39.147869674185465
SO2,3,temperature_exponent,0,1995,100.0
SO2,3,pressure_shift,0,1995,100.0
SO2,4,position,4,3711,100.0
SO2,4,intensity,5,3711,100.0
SO2,4,air_width,4,3711,100.0
SO2,4,self_width,4,2848,76.74481271894368
SO2,4,self_width,5,863,23.25518728105632
SO2,4,temperature_exponent,0,3711,100.0
SO2,4,pressure_shift,0,3711,100.0
NO2,1,position,3,1536,100.0
NO2,1,intensity,0,1536,100.0
NO2,1,air_width,5,1361,88.60677083333333
NO2,1,air_width,2,175,11.393229166666666
NO2,1,self_width,2,1536,100.0
NO2,1,temperature_exponent,3,1536,100.0
NO2,1,pressure_shift,3,1049,68.29427083333333
NO2,1,pressure_shift,2,487,31.705729166666668
H2O,1,position,5,22,59.45945945945946
H2O,1,position,7,8,21.62162162162162
H2O,1,position,6,4,10.81081081081081
H2O,1,position,4,3,8.108108108108109
H2O,1,intensity,3,29,78.37837837837837
H2O,1,intensity,6,8,21.62162162162162
H2O,1,air_width,4,32,86.48648648648648
H2O,1,air_width,5,3,8.108108108108109
H2O,1,air_width,6,1,2.7027027027027026
H2O,1,air_width,3,1,2.7027027027027026
H2O,1,self_width,2,25,67.56756756756756
H2O,1,self_width,4,9,24.324324324324323
H2O,1,self_width,3,3,8.108108108108109
H2O,1,temperature_exponent,2,17,45.945945945945944
H2O,1,temperature_exponent,4,11,29.72972972972973
H2O,1,temperature_exponent,5,5,13.513513513513514
H2O,1,temperature_exponent,6,3,8.108108108108109
H2O,1,temperature_exponent,3,1,2.7027027027027026
H2O,1,pressure_shift,3,28,75.67567567567568
H2O,1,pressure_shift,6,6,16.216216216216218
H2O,1,pressure_shift,1,2,5.405405405405405
H2O,1,pressure_shift,0,1,2.7027027027027026
H2O,2,position,5,28,80.0
H2O,2,position,4,3,8.571428571428571
H2O,2,position,3,2,5.714285714285714
H2O,2,position,1,1,2.857142857142857
H2O,2,position,8,1,2.857142857142857
