station,datetime,geopotential_height_m,geometric_altitude_m,temperature_k,pressure_pa,water_pressure_pa,surface,pressure_flag,height_flag,temperature_flag
CHM00054511,2026-09-01T00:00:00Z,34,34.00018185444974,295.75,101400,1639.3239412683802,True,B, ,B
CHM00054511,2026-09-01T00:00:00Z,151,151.0035869719969,294.75,100000,1429.4947080310162,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,159,159.00397712175695,294.65,99900,1410.8037383696724,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,318,318.0159088849622,294.45,98150,1218.9773744405559,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,357,357.0200504718938,295.15,97720,1139.6708376953354,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,456,456.03271331952027,295.04999999999995,96670,1064.9538753607796,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,466,466.0341639003823,295.04999999999995,96570,1072.225669731972,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,678,678.072321843247,293.84999999999997,94210,1079.541278170424,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,731,731.0840714376179,293.34999999999997,93640,1043.399125713421,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,839,839.1107503280009,292.34999999999997,92500,1022.2306392035568,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,1025,1025.1653033060975,290.84999999999997,90520,1001.4424532964075,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,1088,1088.1862498383334,290.54999999999995,89860,967.6246345546516,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,1257,1257.24861092951,289.15,88110,1086.9009272032788,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,1349,1349.2863385675557,288.45,87160,1050.5408274926626,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,1396,1396.3066408407378,288.15,86690,1029.244252871338,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,1568,1568.3868681982842,286.75,85000,1178.735657218922,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,1587,1587.3963018193508,286.65,84830,1186.6888888572512,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,1672,1672.4398965617188,286.04999999999995,83940,1124.3677770943866,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,1678,1678.4430597971264,286.04999999999995,83900,1124.3677770943866,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,1922,1922.581302074449,283.95,81510,994.5965496080908,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,2008,2008.6344952868387,283.34999999999997,80660,890.5462242289088,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,2130,2130.713951200352,282.34999999999997,79500,807.5242991755043,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,2346,2346.8661240522347,280.45,77450,807.5242991755044,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,2610,2611.072069996393,278.45,74950,774.0933482097292,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,2687,2688.1362730932365,277.84999999999997,74270,731.4269912562188,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,3030,3031.4449608860045,275.04999999999995,71210,585.0964153704598,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,3167,3168.5786153643,273.84999999999997,70000,551.8318172046015,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,3173,3174.584604018545,273.84999999999997,69940,551.8318172046015,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,3219,3220.6308938928128,275.04999999999995,69540,472.35779461262774,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,3258,3259.670661939829,276.25,69210,325.08425096457165,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,3314,3315.7286029704796,276.65,68730,295.95021046718017,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,3372,3373.789655104028,276.75,68250,242.60940417876978,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,3451,3452.874517633708,277.25,67580,154.27616736724585,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,3723,3725.1817464481196,275.45,65340,163.62581833414183,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,3741,3743.2029003506204,275.25,65200,159.55848613141515,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,3914,3916.411420256603,275.45,63810,83.90357181539031,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,3991,3993.5072635186984,275.65,63200,98.49225647767916,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,4091,4093.63452498357,274.75,62420,147.8936520357891,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,4111,4113.660355552128,274.54999999999995,62260,147.89365203578907,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,4327,4329.94736069091,273.15,60610,127.92290964317644,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,4407,4410.057391592635,272.54999999999995,60000,117.33821836383662,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,4511,4514.203448381716,271.84999999999997,59220,105.67732818901324,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,4569,4572.2863843800815,271.45,58800,96.76593160945582,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,4919,4922.809374029318,268.45,56240,88.53490694464607,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,5244,5248.329597850719,266.84999999999997,53950,38.667951581385466,False, ,B,B
CHM00054511,2026-09-01T00:00:00Z,5335,5339.481230292827,267.04999999999995,53320,23.52732624887192,False, ,B,B
