band,nuisance_policy,elapsed_s,residual_std_db,pilots,sensing_tones,within_ideal_pass_above_45deg,target,standard_error_ug_m3,tp,fp,fn,tn,positive_draws,null_draws,precision_pct,recall_pct,false_positive_rate_pct,specificity_pct,accuracy_pct,f1_pct,evaluated_positive_prevalence_pct,precision_ci95_lower_pct,precision_ci95_upper_pct,recall_ci95_lower_pct,recall_ci95_upper_pct,false_positive_ci95_lower_pct,false_positive_ci95_upper_pct,average_precision_pct
multiband_reference,reference_calibration,0.1,0.0,300,170,True,H2CO,122.72818464177115,13,7,4987,4993,5000,5000,65.0,0.26,0.13999999999999999,99.86,50.06,0.5179282868525896,50.0,43.285427668523624,81.88081758989179,0.15201269998326156,0.44435828951102124,0.06783326019524562,0.28872197776585085,51.06780594736422
multiband_reference,reference_calibration,0.1,0.0,300,170,True,CH3OH,286.5471782430436,10,9,4990,4991,5000,5000,52.63157894736842,0.2,0.18,99.82,50.01,0.3984857541342897,50.0,31.70780924511316,72.67019483882042,0.10867468609438852,0.3677884276333011,0.09472935076811986,0.34176447103737206,50.94674268492043
multiband_reference,reference_calibration,0.1,0.0,300,170,True,CH3CN,28.255555867726155,8,15,4992,4985,5000,5000,34.78260869565217,0.16,0.3,99.7,49.93,0.31853474019510253,50.0,18.81127593879773,55.109664622737,0.08109751397282834,0.31542701591046596,0.18189297776376753,0.4944165955749107,50.977919273199035
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PM2.5,1059868217.8857086,6,7,4994,4993,5000,5000,46.15384615384615,0.12,0.13999999999999999,99.86,49.99,0.23937761819269898,50.0,23.206067809538304,70.85620428549399,0.055008316775915556,0.2615776292629832,0.06783326019524562,0.28872197776585085,50.93114772114985
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PMcoarse,1300770692.9732366,7,9,4993,4991,5000,5000,43.75,0.13999999999999999,0.18,99.82,49.98,0.27910685805422647,50.0,23.098652405492352,66.82144360118811,0.06783326019524562,0.28872197776585085,0.09472935076811986,0.34176447103737206,48.45795305871468
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PM10,240902690.887359,7,9,4993,4991,5000,5000,43.75,0.13999999999999999,0.18,99.82,49.98,0.27910685805422647,50.0,23.098652405492352,66.82144360118811,0.06783326019524562,0.28872197776585085,0.09472935076811986,0.34176447103737206,48.45877773676231
multiband_reference,reference_calibration,0.1,0.001,300,170,True,H2CO,122.77895021445882,12,7,4988,4993,5000,5000,63.1578947368421,0.24,0.13999999999999999,99.86,50.05,0.4781829049611476,50.0,41.03953316480307,80.85048725486492,0.13734655564128323,0.4190551419308018,0.06783326019524562,0.28872197776585085,51.104257982555666
multiband_reference,reference_calibration,0.1,0.001,300,170,True,CH3OH,286.6574101594964,10,9,4990,4991,5000,5000,52.63157894736842,0.2,0.18,99.82,50.01,0.3984857541342897,50.0,31.70780924511316,72.67019483882042,0.10867468609438852,0.3677884276333011,0.09472935076811986,0.34176447103737206,50.93428381309826
multiband_reference,reference_calibration,0.1,0.001,300,170,True,CH3CN,28.259661368626762,8,15,4992,4985,5000,5000,34.78260869565217,0.16,0.3,99.7,49.93,0.31853474019510253,50.0,18.81127593879773,55.109664622737,0.08109751397282834,0.31542701591046596,0.18189297776376753,0.4944165955749107,50.98560158761939
multiband_reference,reference_calibration,0.1,0.001,300,170,True,PM2.5,1060414460.3023243,6,6,4994,4994,5000,5000,50.0,0.12,0.12,99.88,50.0,0.23942537909018355,50.0,25.37815976337061,74.6218402366294,0.055008316775915556,0.2615776292629832,0.055008316775915556,0.2615776292629832,50.92283916193872
multiband_reference,reference_calibration,0.1,0.001,300,170,True,PMcoarse,1301440882.4254637,6,8,4994,4992,5000,5000,42.857142857142854,0.12,0.16,99.83999999999999,49.98,0.23932987634623054,50.0,21.380798904474123,67.40935542034926,0.055008316775915556,0.2615776292629832,0.08109751397282834,0.31542701591046596,48.44816613657348
multiband_reference,reference_calibration,0.1,0.001,300,170,True,PM10,241026638.1122776,6,8,4994,4992,5000,5000,42.857142857142854,0.12,0.16,99.83999999999999,49.98,0.23932987634623054,50.0,21.380798904474123,67.40935542034926,0.055008316775915556,0.2615776292629832,0.08109751397282834,0.31542701591046596,48.44947572038699
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,H2CO,12.272818464169971,15,7,4985,4993,5000,5000,68.18181818181817,0.3,0.13999999999999999,99.86,50.08,0.5973715651135006,50.0,47.318597741042744,83.63940681864375,0.18189297776376753,0.4944165955749107,0.06783326019524562,0.28872197776585085,52.79805709248966
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,CH3OH,28.65471782430499,10,9,4990,4991,5000,5000,52.63157894736842,0.2,0.18,99.82,50.01,0.3984857541342897,50.0,31.70780924511316,72.67019483882042,0.10867468609438852,0.3677884276333011,0.09472935076811986,0.34176447103737206,51.6808980360564
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,CH3CN,2.8255555867735245,10,15,4990,4985,5000,5000,40.0,0.2,0.3,99.7,49.95,0.39800995024875624,50.0,23.403302377747973,59.26054264103301,0.10867468609438852,0.3677884276333011,0.18189297776376753,0.4944165955749107,58.899504086459565
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,PM2.5,105986821.7884151,6,8,4994,4992,5000,5000,42.857142857142854,0.12,0.16,99.83999999999999,49.98,0.23932987634623054,50.0,21.380798904474123,67.40935542034926,0.055008316775915556,0.2615776292629832,0.08109751397282834,0.31542701591046596,50.92336061522196
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,PMcoarse,130077069.29713252,7,9,4993,4991,5000,5000,43.75,0.13999999999999999,0.18,99.82,49.98,0.27910685805422647,50.0,23.098652405492352,66.82144360118811,0.06783326019524562,0.28872197776585085,0.09472935076811986,0.34176447103737206,48.45033925767331
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,PM10,24090269.088700525,8,9,4992,4991,5000,5000,47.05882352941176,0.16,0.18,99.82,49.99,0.31891568666533787,50.0,26.165106442409435,69.03676493999558,0.08109751397282834,0.31542701591046596,0.09472935076811986,0.34176447103737206,48.4516634748291
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,H2CO,12.756881035244362,12,11,4988,4989,5000,5000,52.17391304347826,0.24,0.22,99.78,50.01,0.4778021102926538,50.0,32.96273733642741,70.76284258335335,0.13734655564128323,0.4190551419308018,0.12289154071388131,0.3935408649360061,53.06273232318043
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,CH3OH,29.70454703584983,12,4,4988,4996,5000,5000,75.0,0.24,0.08,99.92,50.08,0.4784688995215311,50.0,50.50168346449122,89.81793250878695,0.13734655564128323,0.4190551419308018,0.031114697610156263,0.20553266458434705,51.4505141671743
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,CH3CN,2.8651114171940444,16,15,4984,4985,5000,5000,51.61290322580645,0.32,0.3,99.7,50.01,0.6360564500099384,50.0,34.8403954480288,68.0297484375827,0.19707278219023716,0.5192060830706388,0.18189297776376753,0.4944165955749107,58.81491730718322
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,PM2.5,111179074.04998961,4,5,4996,4995,5000,5000,44.44444444444444,0.08,0.1,99.9,49.99,0.1597125174685566,50.0,18.87785210976645,73.3348706504507,0.031114697610156263,0.20553266458434705,0.042721349110879964,0.2338953050058211,50.727998955629815
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,PMcoarse,136447501.46190017,6,8,4994,4992,5000,5000,42.857142857142854,0.12,0.16,99.83999999999999,49.98,0.23932987634623054,50.0,21.380798904474123,67.40935542034926,0.055008316775915556,0.2615776292629832,0.08109751397282834,0.31542701591046596,48.438485282724116
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,PM10,25268450.713090092,6,8,4994,4992,5000,5000,42.857142857142854,0.12,0.16,99.83999999999999,49.98,0.23932987634623054,50.0,21.380798904474123,67.40935542034926,0.055008316775915556,0.2615776292629832,0.08109751397282834,0.31542701591046596,48.4388675662842
multiband_reference,reference_calibration,1800.0,0.0,5400000,170,False,H2CO,0.9147618787130842,168,7,4832,4993,5000,5000,96.0,3.36,0.13999999999999999,99.86,51.61,6.492753623188406,50.0,91.97475239004144,98.04911627087014,2.8952430871671924,3.8963681502677363,0.06783326019524562,0.28872197776585085,78.11398411170289
