frequency_ghz,hitran_background_db,selected_background_db
60.0,174.83066113210003,174.83066113210003
61.333333333333336,163.82882506388495,163.82882506388495
62.666666666666664,144.36568617567536,144.36568617567536
64.0,79.89512781221369,79.89512781221369
65.33333333333333,45.01937821972947,45.01937821972947
66.66666666666667,29.67541021891726,29.67541021891726
68.0,23.782131087011773,23.782131087011773
69.33333333333333,21.228299555549793,21.228299555549793
70.66666666666667,19.888592525025224,19.888592525025224
72.0,19.079134227600175,19.079134227600175
73.33333333333333,18.54863364246969,18.54863364246969
74.66666666666667,18.18354140443215,18.18354140443215
76.0,17.92424211104363,17.92424211104363
77.33333333333333,17.736309874246125,17.736309874246125
78.66666666666666,17.59852207323444,17.59852207323444
80.0,17.49714029451952,17.49714029451952
81.33333333333333,17.42292187935997,17.42292187935997
82.66666666666666,17.36945141065375,17.36945141065375
84.0,17.332159785291317,17.332159785291317
85.33333333333333,17.307722946759117,17.307722946759117
86.66666666666666,17.293680505962694,17.293680505962694
88.0,17.28818706616311,17.28818706616311
89.33333333333333,17.289846823450336,17.289846823450336
90.66666666666666,17.297602961011204,17.297602961011204
92.0,17.310666465339438,17.310666465339438
93.33333333333333,17.328479348956616,17.328479348956616
94.66666666666666,17.350700960950604,17.350700960950604
96.0,17.376967296914486,17.376967296914486
97.33333333333333,17.406363687365623,17.406363687365623
98.66666666666666,17.439397621153923,17.439397621153923
100.0,17.476633347584915,17.476633347584915
101.33333333333333,17.518376858295944,17.518376858295944
102.66666666666666,17.56525628762017,17.56525628762017
104.0,17.618370691633146,17.618370691633146
105.33333333333333,17.6795124801208,17.6795124801208
106.66666666666666,17.751600500294764,17.751600500294764
108.0,17.83951767545383,17.83951767545383
109.33333333333333,17.951811321934596,17.951811321934596
110.66666666666666,18.104413627975532,18.104413627975532
112.0,18.32962031250662,18.32962031250662
113.33333333333333,18.70070023951852,18.70070023951852
114.66666666666666,19.41181460024977,19.41181460024977
116.0,21.105323744517072,21.105323744517072
117.33333333333333,26.692960338509078,26.692960338509078
118.66666666666666,47.870411317709205,47.870411317709205
120.0,28.24478726824352,28.24478726824352
121.33333333333333,21.650021694864762,21.650021694864762
122.66666666666666,19.80877505829346,19.80877505829346
124.0,19.113364048103758,19.113364048103758
125.33333333333333,18.80186529290009,18.80186529290009
126.66666666666666,18.651444281706677,18.651444281706677
128.0,18.579922716310566,18.579922716310566
129.33333333333331,18.55167314567361,18.55167314567361
130.66666666666666,18.549321126232048,18.549321126232048
132.0,18.56363848572426,18.56363848572426
133.33333333333331,18.589380807908373,18.589380807908373
134.66666666666666,18.623413806698835,18.623413806698835
136.0,18.663799896110604,18.663799896110604
137.33333333333331,18.709318130381867,18.709318130381867
138.66666666666666,18.759211085678483,18.759211085678483
140.0,18.813025756348335,18.813025756348335
141.33333333333331,18.870291159399986,18.870291159399986
142.66666666666666,18.931091890479763,18.931091890479763
144.0,18.995423354381018,18.995423354381018
145.33333333333331,19.063385104268235,19.063385104268235
146.66666666666666,19.135191890676452,19.135191890676452
148.0,19.21116311087393,19.21116311087393
149.33333333333331,19.291729453460174,19.291729453460174
150.66666666666666,19.377448238993008,19.377448238993008
152.0,19.469025598620803,19.469025598620803
153.33333333333331,19.56734990313006,19.56734990313006
154.66666666666666,19.673537717599146,19.673537717599146
156.0,19.788996749907955,19.788996749907955
157.33333333333331,19.915512563900997,19.915512563900997
158.66666666666666,20.05536904792463,20.05536904792463
160.0,20.211517822723465,20.211517822723465
161.33333333333331,20.387820066242316,20.387820066242316
162.66666666666666,20.5893977811143,20.5893977811143
164.0,20.823154239387357,20.823154239387357
165.33333333333331,21.09856246947852,21.09856246947852
166.66666666666666,21.42889014691382,21.42889014691382
168.0,21.83315686113093,21.83315686113093
169.33333333333331,22.33936285963188,22.33936285963188
170.66666666666666,22.9900109207786,22.9900109207786
172.0,23.851944958221413,23.851944958221413
173.33333333333331,25.034714265248393,25.034714265248393
174.66666666666666,26.72669208654324,26.72669208654324
176.0,29.270294147270445,29.270294147270445
177.33333333333331,33.327831227294936,33.327831227294936
178.66666666666666,40.26143734930849,40.26143734930849
180.0,52.95478738189987,52.95478738189987
181.33333333333331,76.64592982482964,76.64592982482964
182.66666666666666,110.70142490252937,110.70142490252937
184.0,107.24871086976472,107.24871086976472
185.33333333333331,73.06547424103367,73.06547424103367
186.66666666666666,51.11803924080743,51.11803924080743
188.0,39.51880173992932,39.51880173992932
189.33333333333331,33.19476097998881,33.19476097998881
190.66666666666666,29.509008039137253,29.509008039137253
192.0,27.2223851321725,27.2223851321725
193.33333333333331,25.72908023869918,25.72908023869918
194.66666666666666,24.713532813457004,24.713532813457004
196.0,24.00087940682655,24.00087940682655
197.33333333333331,23.48876722985074,23.48876722985074
198.66666666666666,23.114391559157028,23.114391559157028
200.0,22.83762445171283,22.83762445171283
201.33333333333331,22.631920200862723,22.631920200862723
202.66666666666666,22.479184377038816,22.479184377038816
204.0,22.366761725134904,22.366761725134904
205.33333333333331,22.28561011267976,22.28561011267976
206.66666666666666,22.229174492514503,22.229174492514503
208.0,22.19265240251753,22.19265240251753
209.33333333333331,22.17187141662437,22.17187141662437
210.66666666666666,22.163339505745565,22.163339505745565
212.0,22.165826963630828,22.165826963630828
213.33333333333331,22.177629599587863,22.177629599587863
214.66666666666666,22.197246655995254,22.197246655995254
216.0,22.22351942470577,22.22351942470577
217.33333333333331,22.255531737788775,22.255531737788775
218.66666666666666,22.292544962984,22.292544962984
220.0,22.333956611466597,22.333956611466597
221.33333333333331,22.37927156449009,22.37927156449009
222.66666666666666,22.42808120047324,22.42808120047324
224.0,22.480048340958135,22.480048340958135
225.33333333333331,22.534897500653365,22.534897500653365
226.66666666666666,22.592412048474653,22.592412048474653
228.0,22.652445274986984,22.652445274986984
229.33333333333331,22.714968761730958,22.714968761730958
230.66666666666666,22.780207417704638,22.780207417704638
232.0,22.848398079612785,22.848398079612785
233.33333333333331,22.91621715718288,22.91621715718288
234.66666666666666,22.983819344254595,22.983819344254595
236.0,23.054139357229495,23.054139357229495
237.33333333333331,23.126693831753204,23.126693831753204
238.66666666666666,23.201077383525103,23.201077383525103
240.0,23.277112226700186,23.277112226700186
241.33333333333331,23.354711059407883,23.354711059407883
242.66666666666666,23.433825394026528,23.433825394026528
244.0,23.51442945710142,23.51442945710142
245.33333333333331,23.596522636511306,23.596522636511306
246.66666666666666,23.68014207033051,23.68014207033051
248.0,23.765076385518768,23.765076385518768
249.33333333333331,23.85133774695333,23.85133774695333
250.66666666666666,23.93912741848203,23.93912741848203
252.0,24.02840636959833,24.02840636959833
253.33333333333331,24.11917236997497,24.11917236997497
254.66666666666666,24.21144101055383,24.21144101055383
256.0,24.305239855388333,24.305239855388333
257.3333333333333,24.40061379144558,24.40061379144558
258.66666666666663,24.49765707258723,24.49765707258723
260.0,24.596564659198457,24.596564659198457
261.3333333333333,24.69662642970105,24.69662642970105
262.66666666666663,24.79838114334804,24.79838114334804
264.0,24.90191614435616,24.90191614435616
265.3333333333333,25.00724300884785,25.00724300884785
266.66666666666663,25.11454443363433,25.11454443363433
268.0,25.223836374413995,25.223836374413995
269.3333333333333,25.33517886141051,25.33517886141051
270.66666666666663,25.448656543154847,25.448656543154847
272.0,25.564367389885554,25.564367389885554
273.3333333333333,25.682421583012964,25.682421583012964
274.66666666666663,25.802942826968575,25.802942826968575
276.0,25.926069867442212,25.926069867442212
277.3333333333333,26.05195854584637,26.05195854584637
278.66666666666663,26.180784390087393,26.180784390087393
280.0,26.312745800121384,26.312745800121384
281.3333333333333,26.448067951126255,26.448067951126255
282.66666666666663,26.587007598958902,26.587007598958902
284.0,26.72985905666712,26.72985905666712
285.3333333333333,26.876961755258797,26.876961755258797
286.66666666666663,27.028710105025695,27.028710105025695
288.0,27.18556715718428,27.18556715718428
289.3333333333333,27.34808603512317,27.34808603512317
290.66666666666663,27.516951850894028,27.516951850894028
292.0,27.69307406298875,27.69307406298875
