molecule,peak_db_per_ug_m3,rms_db_per_ug_m3,lines_in_band
H2CO,0.0009429052214816439,0.0001693980415297588,294
CH3OH,0.0003438120247037789,7.109169050497582e-05,1372
CH3CN,0.003363865437880375,0.00099587121923878,2825
CO,9.000985181312911e-06,9.096082968515853e-07,15
O3,2.7425778198172923e-05,7.019106136104124e-06,1301
SO2,0.00025612770202170117,6.51812082834389e-05,6406
NO2,9.744413566646517e-06,2.3090702351609724e-06,1536
CH4,8.584929781323496e-11,1.5265773804015425e-11,164
