policy,pilots_per_frame,total_power_w,reference_bps,candidate_bps,relative_loss,within_power_budget,accepted
reuse_existing_pilots,30,0.19952623149688795,110728693.76094975,110728693.76094975,0.0,True,True
equal_power,30,0.19952623149688797,110728693.76094975,73977982.89223036,0.3318987122530304,True,False
voc_weighted_redistribution,30,0.199526231496888,110728693.76094975,46541687.53137965,0.5796781669631389,True,False
270_extra_pilots,300,0.19952623149688797,110728693.76094975,107730023.01717277,0.027081243731193607,True,False
