model,pilots,gas,zero_residual_floor,achievable_without_residual,maximum_residual_std_db
power,30,CO,16.89371706901672,False,
power,30,O3,236.5238730572947,False,
power,30,SO2,89.64406056566888,False,
power,30,NO2,2316.1936708283906,False,
power,300,CO,5.342262408455727,False,
power,300,O3,74.79541598656597,False,
power,300,SO2,28.347941009359033,False,
power,300,NO2,732.4447501884588,False,
power,3000,CO,1.6893717069017697,False,
power,3000,O3,23.652387305730418,False,
power,3000,SO2,8.964406056565457,False,
power,3000,NO2,231.6193670828183,False,
power,30000,CO,0.5342262408456152,True,0.04055148742609715
power,30000,O3,7.4795415986555165,False,
power,30000,SO2,2.8347941009353788,False,
power,30000,NO2,73.24447501882511,False,
coherent,30,CO,3.1439491003029953,False,
coherent,30,O3,39.51780223268397,False,
coherent,30,SO2,18.403913514350506,False,
coherent,30,NO2,383.6765208275576,False,
coherent,300,CO,0.9942040004597078,True,0.004898124847282428
coherent,300,O3,12.49662631793627,False,
coherent,300,SO2,5.819828456609518,False,
coherent,300,NO2,121.32916905441024,False,
coherent,3000,CO,0.31439491003030295,True,0.04511127310484315
coherent,3000,O3,3.951780223268651,False,
coherent,3000,SO2,1.8403913514349508,False,
coherent,3000,NO2,38.36765208275817,False,
coherent,30000,CO,0.09942040004596413,True,0.04768504642116264
coherent,30000,O3,1.2496626317935875,False,
coherent,30000,SO2,0.5819828456608782,True,0.006615807096109871
coherent,30000,NO2,12.132916905441702,False,
